date,title,doi,authors,journal,short_journal,volume,year,publisher,issue,page,abstract
2019-08-20,The Convergence of Financial and ESG Materiality: Taking Sustainability Mainstream,10.1111/ablj.12148,Ruth Jebe,American Business Law Journal,American Business Law J,56,2019,Wiley,3,645-702,"Sustainability reporting can be seen as an attempt to bring improved environmental, social, and governance (ESG) practices to mainstream business. However, this movement to mainstream is hampered by the disconnect between financial and ESG information. Both reporting streams use the concept of materiality to shape firms' disclosure obligations, but the term carries different meanings for different organizations. One sustainability organization, the Sustainability Accounting Standards Board (SASB), has developed reporting standards to merge sustainability and financial information by leveraging the definition of materiality for financial reporting purposes. This use of financial materiality positions the SASB to collide with the Security and Exchange Commission's (SEC) hands-off attitude to ESG reporting. In the regulatory void left by the SEC's inaction on sustainability reporting, the SASB provides the best route to reconceptualize materiality in line with society's interest in sustainable business."
2022-12-01,Challenges associated with sustainability accounting and reporting practices: a legitimacy perspective,10.1108/ijlma-06-2022-0113,"Katariina Juusola, Reem Srouji",International Journal of Law and Management,IJLMA,65,2022,Emerald,1,64-87,"Purpose
The purpose of this study was to use legitimacy theory to discuss three important aspects of sustainability accounting and reporting practices: the historical building of legitimacy for such practices, how organizations have adhered to them when building organizational legitimacy in a new legitimacy context (the Middle East and North Africa [MENA] region) and how sustainability professionals assess the legitimacy of them in this context.


Design/methodology/approach
The study applied an exploratory qualitative design and a paradigm-type approach to organizational discourse analysis. It used a document analysis and eight expert interviews as data sources.


Findings
The findings revealed that sustainability accounting and reporting face considerable challenges in the MENA region. Four discourses on organizational sustainability in the region were identified, namely, the normative/pragmatic, compliance, restrictive and performative discourses.


Practical implications
Awareness of the challenges and mechanics of sustainability accounting and reporting practices is important for managers, policymakers and consumers, who typically lack in-depth understanding of such practices and so would benefit from being better able to assess companies’ sustainability performance. The four identified discourses facilitate stakeholders’ understanding of sustainability practices in the MENA region.


Originality/value
The legitimacy of sustainability accounting and reporting has not previously been comprehensively investigated in non-Western contexts. This study discusses three important aspects of legitimacy: legitimacy of an object, legitimacy of a subject and legitimacy from an evaluator’s perspective. In doing so, it identifies the paradoxical nature of organizations’ attempts to comply with sustainability reporting practices."
2023-02-01,ESG Maturity: A Software Framework for the Challenges of ESG Data in Investment,10.3390/su15032610,"Carolina Almeida Cruz, Florinda Matos",Sustainability,Sustainability,15,2023,MDPI AG,3,2610,"Given the rising demand for more transparent, consistent, and comprehensive non-financial information in investment, there is a need to provide more reliable, meaningful, and measurable ESG metrics, in a way that most frameworks cannot. Most established frameworks face difficulties and challenges in providing sustainability information to investors in a significant way, lacking in areas such as transparency, reliability, consistency, materiality, and particularly, their focus on the “S” dimension of ESG. The present article purposes to review the challenges associated with several frameworks and to present a solution to overcome them, by giving an overview of a new and innovative software as a service framework, ESG Maturity. This software presents itself as a solution for both reporting companies and their respective investors, by providing both with an assessment of the ESG maturity index of the companies, and delivering a report containing relevant initiatives, strategies, and action plans tailored to each one of them, within different sectors, dimensions, and geographic areas and consequently, their financial and non-financial implementation impact. ESG Maturity is considered a possible answer to the challenges in ESG reporting, having the potential to revolutionize the way companies report their non-financial information and how investors receive it."
2023-02-28,Legal Framework for Corporate Sustainability Reporting in India,10.46647/ijetms.2023.v07i01.006,"Rupam Majumder, Ahmed Hussain",International Journal of Engineering Technology and Management Sciences,IJETMS,7,2023,Mallikarjuna Infosys,1,28-33,"This paper constructs a legal framework for explaining Corporate Sustainability Reporting practices by companies. Sustainability can force innovation with the aid of using introducing new layout constraints that form how key assets are utilized in merchandise and processes. Organizations that acknowledged and embody the important drivers for sustainability will reap the final blessings of market possibilities and green commercial enterprise operations. Numerous organizations are involved with sustainability obligations, and they need a holistic vision to benefit sustainability. This calls for a dynamic framework which shows the attitude of sustainability. Therefore, there may be a need to assess the prevailing sustainability frameworks and highlight the gaps and inconsistencies within the related literature. The literature observed out vital sustainability (economic, environment and social) and decisional paradigm (strategic, tactical, and operational) which needs to be considered in sustainability implementation frameworks. The sustainability and decisional paradigm show the major perspective of sustainability implementation. The integration of these paradigms will be great for successful sustainability implementation project. In the present study, the researcher tried to explain a proper and efficient mechanism concerning the legal aspect."
2023-09-28,Does Capital Expenditure Matter for ESG Disclosure? A UK Perspective,10.3390/jrfm16100429,"Ahmed Saber Moussa, Mahmoud Elmarzouky",Journal of Risk and Financial Management,JRFM,16,2023,MDPI AG,10,429,"This study examines how capital expenditure (capex) affects Environmental, Social, and Governance (ESG) reporting and how corporate governance moderates this effect. We use data from non-financial firms in the FTSE All Share index from 2012 to 2021 and measure ESG disclosure with the Bloomberg ESG Disclosure Score, capex with logarithm of the ratio of capital expenditure to total assets, and corporate governance with a composite index based on Board Size, Independent Board, Board Diversity, and Audit Committee Non-Executives. We also examine the non-linear and threshold effects of capex on ESG disclosure with spline regression models. We find that capex is positively linked to ESG disclosure and that this association is robust for firms with better corporate governance. Our findings imply that capex improves ESG performance and impact and that corporate governance enables ESG communication to stakeholders. Our research advances the existing literature by revealing the link between capex, governance, and ESG reporting in a dynamic and uncertain environment. Our study holds practical significance for companies, investors, and regulators who want to incorporate ESG factors into capex decisions and reporting."
2025-08-15,Environmental Management Accounting for Sustainable Development in Greece,10.1002/csr.70116,"Chatzipetrou Evrikleia, Papanikolaou Glykeria‐Maria, Tiakas Eleftherios, B. GEORGIA",Corporate Social Responsibility and Environmental Management,Corp Soc Responsibility Env,32,2025,Wiley,6,7987-8010,"ABSTRACTInspired by the view that Sustainable Development is now considered a global goal, the present paper aims at highlighting the mediating role of various factors in the relationship between Environmental Management Accounting and the implementation of sustainability reporting standards. Multiple linear regression analysis was conducted on the total sample of 160 companies listed on the Athens Stock Exchange in 2022 to investigate, on the one hand, the extent of adoption of sustainability reporting standards and, on the other hand, whether certain company traits and financial characteristics affect the company's obligation to adopt sustainability standards. The results demonstrate a significant positive correlation between certain company characteristics (i.e., industry sector and company size) and the adoption of sustainability reporting standards. Our findings also reveal that a mere 8.70% of companies with over 500 employees do not adopt any of these sustainability reporting standards. This study aims to motivate, both at the national and international level, policymakers to design and formulate strategies related to Environmental Management Accounting and consequently Green Accounting, as a commonly accepted practice by all countries so that stakeholders can be informed about the assessment of business performance and of their value and prospects through the uniform disclosure of information."
2021-07-10,Materiality assessment: the case of Latin American listed companies,10.1108/sampj-10-2020-0358,"Yully Marcela Sepúlveda-Alzate, María Antonia García Benau, Mauricio Gómez Villegas",Sustainability Accounting Management and Policy Journal,SAMPJ,13,2021,Emerald,1,88-113,"Purpose
This paper aims to propose a measurement of the materiality of environmental, social and governance information (ESG) reported by listed companies belonging to sensitive industries in Colombia, Mexico, Brazil, Chile and Argentina. This analysis is carried out from the insights of stakeholder theory, legitimacy theory and institutional theory. The research questions addressed are: What type of information is considered as material by Latin American companies? Does this information respond to the environmental and social issues within the context of Latin American companies and the needs of their stakeholders?


Design/methodology/approach
A materiality index is developed from principal component analysis and factor analysis, which are multivariate analysis statistical techniques used in various fields to develop indices. The designed index examines materiality in the sustainability reports of 65 companies for 2017 and 67 companies for 2018. These firms belong to the energy, mining, chemical, construction, construction materials and public services industries in Colombia, Mexico, Chile, Argentina and Brazil.


Findings
The results show medium-high materiality indices, mostly in Chilean, Mexican and Colombian companies. In addition, issues such as water management, climate change and occupational health and safety are particularly interesting for companies. For the two years studied and from the perspective of material aspects for the company and its stakeholders, energy, mining and utilities (drinking water and sewage) sectors obtained the highest scores. This shows that the disclosure of ESG information is higher in industries related to the exploitation of natural resources that cause adverse effects on the environment such as extractive industries. Both the analysis presented in this paper and the materiality measurement developed, allow social responsibility managers to have a standard on the level of importance allotted to the different topics disclosed in sustainability reports. Additionally, this study provides a perspective of the material issues recognized by sensitive industries with great environmental impact. Similarly, an analysis of the issues considered material by stakeholders is provided. This allows such issues to be compared, identifying similarities and differences among the issues regarded as material by a company and its stakeholders.


Practical implications
The paper opens the debate is open as to whether the information disclosed response to the needs of stakeholders or whether, on the contrary, the materiality analysis is a process that emerges simply from the interests of the company. These demands for qualitative and field research to complement quantitative studies such as this one to research the stakeholders’ engagement processes in context.


Social implications
The paper’s purpose a challenge for future research is to strengthen the use of various methodologies that allow knowing the participation processes in the definition of materiality in the ESG information and the companies’ engagement with stakeholders. This stimulates research in the region, which is still in its infancy.


Originality/value
The international literature contains few studies related to the assessment of materiality for sustainability reporting. So this paper contributes proposes measurement of materiality for ESG information."
2021-12-06,Detect Extreme Sentiments on Social Networks using BERT,10.21203/rs.3.rs-1120307/v1,"M. Luqman Jamil, Sebastião Pais, João Cordeiro, Gaël Dias",,,,2021,Springer Science and Business Media LLC,,,"Abstract
        Online social networking platforms allow people to freely express their ideas, opinions, and emotions negatively or positively. Previous studies have examined user’s sentiments on these platforms to study their behaviour in different contexts and purposes. The mechanism of collecting public opinion information has attracted researchers to automatically classify the polarity of public opinions based on the use of concise language in messages, such as tweets, by analyzing social media data. In this paper, we extend the preceding work [1], by proposing an unsupervised approach to automatically detect extreme opinions/posts in social networks. We have evaluated our performance on five different social network and media datasets. In this work, we use the semi-supervised approach BERT to check the accuracy of our classified dataset. The latter task shows that, in these datasets, posts that were previously classified as negative or positive are, in fact, extremely negative or positive in many cases."
2023-07-04,Sentimental Sustainability: Does What Companies Say Tell More Than What Companies Do?,10.1111/fmii.12181,"Konstantin Ignatov, Markus Rudolf",Financial Markets Institutions and Instruments,Financial Market,32,2023,Wiley,4,221-252,"AbstractBased on a sample of more than eleven thousand unique 10‐K reports of US companies filed with SEC in period 2013 to 2018, this study examines the relationship between actual sustainability performance of companies, evaluated by MSCI ESG performance scores, and the extent and the scope of environmental, social, and governance information disclosure in their annual reports. The study shows empirical evidence supporting the signalling theory view of voluntary disclosure of ESG information in annual reports for most industries, while environmentally unfriendly companies belonging to the Mining industry division show excessive reporting behavior favoring environmental topics, which is consistent with incentives to improve public image and mitigate social, political, and legal risks in line with the legitimacy theory of information disclosure. When differentiating between forward‐looking and non‐forward‐looking ESG statements, the study shows that companies providing more forward‐looking ESG information in annual reports show better next‐year ESG performance. This study implements established content analysis techniques with focus on ESG reporting and performance, building up on the study of Baier, Berninger, and Kiesel (2020) that proposed an ESG‐tailored dictionary for textual analysis purposes."
2024-01-17,A Green Wave in Media: A Change of Tack in Stock Markets*,10.1111/obes.12597,"Marie Bessec, Julien Fouquau",Oxford Bulletin of Economics and Statistics,Oxf Bull Econ Stat,86,2024,Wiley,5,1026-1057,"AbstractThis paper examines the impact of environmental news coverage in US newspapers on stock markets. Using textual analysis with a dictionary‐based approach, we obtain several measures of attention, tonality and uncertainty in the coverage of environmental news in major US newspapers. We consider different weighting schemes to account for the visibility and relevance of the text sources, and several sets of newspapers to measure the possible impact of their editorial line. Our results show that greater attention to environmental news in the US media reduced the excess returns of carbon‐intensive stocks and increased their volatility over the last decade, especially when the coverage was uncertain. The opposite result holds for the most virtuous green assets. Restricting the corpus of texts to conservative newspapers mitigates the impact of coverage. Overall, our results illustrate how rising environmental concerns lead investors to change their asset allocation."
2025-05-22,"The Nexus of Managerial Myopia and Transparency in
                    <scp>ESG</scp>
                    Information: Evidence From the Textual Analysis of
                    <scp>ESG</scp>
                    Disclosures",10.1002/csr.3242,"Yanqi Sun, Ziyao San, Cheng Xu, Howard Davey",Corporate Social Responsibility and Environmental Management,Corp Soc Responsibility Env,32,2025,Wiley,4,5469-5489,"ABSTRACTThis study investigates the relationship between managerial myopia and ESG (environmental, social, and governance) disclosures, focusing on how CEOs with a short‐term orientation influence corporate ESG transparency practices. Using a unique dataset of Chinese listed firms from 2009 to 2021, we apply machine learning‐based textual analysis to measure managerial myopia from annual report narratives. Empirical results show that myopic CEOs are significantly less likely to disclose ESG information, even when such disclosures could yield immediate governance or signaling benefits. However, responses to external scrutiny vary: under government oversight, myopic managers tend to disclose strategically and cautiously, limiting transparency; under analyst scrutiny, by contrast, they exhibit a greater level of ESG disclosures, suggesting market forces play a more effective role in mitigating short‐term bias. These findings highlight the importance of institutional context in shaping the impact of CEO time orientation on ESG disclosure. The study contributes to the literature on behavioral corporate governance and offers practical insights for regulators, boards, and investors in emerging markets like China."
2025-07-31,Decoding corporate communication strategies: Analysing mandatory published information under Pillar 3 across turbulent periods with unsupervised machine learning,10.1371/journal.pone.0328841,"Anna Pilková, Michal Munk, Lívia Kelebercová",Plos One,PLoS One,20,2025,Public Library of Science (PLoS),7,e0328841,"This study explores the communication patterns of Slovak banks with stakeholders through mandatory disclosures mandated by Basel III’s Pillar 3 framework and annual reports in 2007−2022. Our primary objective is to identify key topics communicated by banks and analysing the sentiment of this communication during turbulent periods (i.e., alternating periods of stability and crisis) in 2007−2022. Textual data was collected from Pillar 3 disclosures, annual reports, and additional regulatory reports. A hybrid model was developed to extract the most important keywords from each collected document chapter. This hybrid model (model combining multiple approaches) combines elements of statistical approaches to keyword extraction, (keyword frequency dictionary), linguistic approaches (pair-of-speech tagging in order to select noun-phrases), and machine-learning based approaches (BERT) to extract meaningful keywords. Subsequently, a sentiment analysis was performed on the extracted keywords using a Loughran-McDonald lexicon (list of words labelled with sentiment) specially designed for financial texts. Based on the adjusted univariate results, we can reject the global null hypothesis of independence of the sentiment category of keywords from time for negative sentiment at p = 0.0000 for positive sentiment at p = 0.0005, and for neutral sentiment at p = 0.0000 significant level. The multilevel comparison revealed that negative sentiment was most frequent during the global financial crisis and the COVID-19 pandemic, likely impacting stakeholder confidence and trust. Conversely, positive sentiment dominated during periods of financial stability, potentially enhancing stakeholder satisfaction and investment decisions. This research points out that the sentiment of the selected commercial bank documents changes depending on the years. A commercial bank can use this knowledge and include sentiment information as predictors when modelling financial distress. For bank management of selected commercial bank the examined documents are an important communication tool, the wording of which can have a significant impact on stakeholder behaviour towards the bank, their styling is very important."
2025-02-01,Refining the prediction of user satisfaction on chat-based AI applications with unsupervised filtering of rating text inconsistencies,10.1098/rsos.241687,"Hae Sun Jung, Jang Hyun Kim, Haein Lee",Royal Society Open Science,,12,2025,The Royal Society,2,,"The swift development of artificial intelligence (AI) technology has triggered substantial changes, particularly evident in the emergence of chat-based services driven by large language models. With the increasing number of users utilizing these services, understanding and analysing user satisfaction becomes crucial for service improvement. While previous studies have explored leveraging online reviews as indicators of user satisfaction, efficiently collecting and analysing extensive datasets remain a challenge. This research aims to address this challenge by proposing a framework to handle extensive review datasets from the Google Play Store, employing natural language processing with machine learning techniques for sentiment analysis. Specifically, the authors collect review data of chat-based AI applications and perform filtering through majority voting of multiple unsupervised sentiment analyses. This framework is a proposed methodology for eliminating inconsistencies between ratings and contents. Subsequently, the authors conduct supervised sentiment analysis using various machine learning and deep learning algorithms. The experimental results confirm the effectiveness of the proposed approach showing improvement in prediction accuracy with cost efficiency. In summary, the findings of this study enhance the predictive performance of user satisfaction for improving service quality in chat-based AI applications and provide valuable insights for the advancement of next-generation chat-based AI services."
2024-03-22,Decoding mood of the Twitterverse on ESG investing: opinion mining and key themes using machine learning,10.1108/mrr-07-2023-0526,"Rachana Jaiswal, Shashank Gupta, Aviral Kumar Tiwari",Management Research Review,MRR,47,2024,Emerald,8,1221-1252,"Purpose
Grounded in the stakeholder theory and signaling theory, this study aims to broaden the research agenda on environmental, social and governance (ESG) investing by uncovering public sentiments and key themes using Twitter data spanning from 2009 to 2022.

Design/methodology/approach
Using various machine learning models for text tonality analysis and topic modeling, this research scrutinizes 1,842,985 Twitter texts to extract prevalent ESG investing trends and gauge their sentiment.

Findings
Gibbs Sampling Dirichlet Multinomial Mixture emerges as the optimal topic modeling method, unveiling significant topics such as “Physical risk of climate change,” “Employee Health, Safety and well-being” and “Water management and Scarcity.” RoBERTa, an attention-based model, outperforms other machine learning models in sentiment analysis, revealing a predominantly positive shift in public sentiment toward ESG investing over the past five years.

Research limitations/implications
This study establishes a framework for sentiment analysis and topic modeling on alternative data, offering a foundation for future research. Prospective studies can enhance insights by incorporating data from additional social media platforms like LinkedIn and Facebook.

Practical implications
Leveraging unstructured data on ESG from platforms like Twitter provides a novel avenue to capture company-related information, supplementing traditional self-reported sustainability disclosures. This approach opens new possibilities for understanding a company’s ESG standing.

Social implications
By shedding light on public perceptions of ESG investing, this research uncovers influential factors that often elude traditional corporate reporting. The findings empower both investors and the general public, aiding managers in refining ESG and management strategies.

Originality/value
This study marks a groundbreaking contribution to scholarly exploration, to the best of the authors’ knowledge, by being the first to analyze unstructured Twitter data in the context of ESG investing, offering unique insights and advancing the understanding of this emerging field."
2025-10-01,The Impact of Negative ESG Disclosure on Firm Value: Enhancing or Diminishing?,10.1177/21582440251383232,Wunhong Su,Sage Open,Sage Open,15,2025,SAGE Publications,4,,"China has not established a regulatory framework for the disclosure of negative information related to ESG. As a result, firms face a dilemma when confronted with ESG-related adverse events: withholding disclosure risks reputational damage upon exposure, while disclosing may invite legitimacy concerns. To address this dilemma, a study is conducted using A-share listed firms that disclose ESG-related negative information between 2020 and 2021. By setting an event window spanning ten trading days before and after the announcement of negative events, the research reveals that disclosing ESG negative information leads to significant short-term negative market effects. Although the adverse market impact is less pronounced when firms voluntarily disclose negative ESG information compared to when it is disclosed passively, this does not suffice to encourage proactive disclosure. Further regression analysis is conducted to examine the long-term value effect of disclosing ESG negative information, showing that the level of disclosure significantly enhances the long-term value of the firm. The stark contrast between the two effects suggests that, first, ESG is fundamentally a concept rooted in sustainable development, and the long-term value effect of disclosing negative information aligns with this principle. Second, ESG is a practice, and negative information is an objective reality within such practice. Choosing to disclose ESG negative information appropriately reflects a positive attitude, proving beneficial in the long run. Therefore, it is recommended that government regulatory bodies establish a mandatory framework for ESG negative information disclosure and incorporate such disclosures into the ESG rating system."
2022-10-01,Application of text mining to the analysis of climate-related disclosures,10.1016/j.irfa.2022.102307,"A Moreno, Teresa Caminero",International Review of Financial Analysis,International Review of Financial Analysis,83,2022,Elsevier BV,,102307,
2024-07-23,"Manager sentiment, policy uncertainty, ESG disclosure and firm performance: a large language model in corporate landscape",10.1108/ijaim-08-2023-0206,"Asis Kumar Sahu, Byomakesh Debata, Saumya Ranjan Dash",International Journal of Accounting and Information Management,IJAIM,32,2024,Emerald,5,858-882,"Purpose
This study aims to examine the impact of manager sentiment on the firm performance (FP) of Indian-listed nonfinancial firms. Further, it endeavors to investigate the moderating role of economic policy uncertainty (EPU) and environment, social and governance (ESG) transparency in this relationship.


Design/methodology/approach
A noble manager sentiment is introduced using FinBERT, a bidirectional encoder representation from a transformers (BERT)-type large language model. Using this deep learning-based natural language processing approach implemented through a Python-generated algorithm, this study constructs a manager sentiment for each firm and year based on the management discussions and analysis (MD&amp;A) report. This research uses the system GMM to examine how manager sentiment affects FP.


Findings
The empirical results suggest that managers’ optimistic outlook in MD&amp;A corporate disclosure sections tends to present higher performance. This positive association remains consistent after several robustness checks – using propensity score matching and instrumental variable approach to address further endogeneity, using alternative proxies of manager sentiment and FP and conducting subsample analysis based on financial constraints. Furthermore, the authors observe that the relationship is more pronounced for ESG-disclosed firms and during the low EPU.


Practical implications
The results demonstrate that the manager sentiment strongly predicts FP. Thus, this study may provide valuable insight for academics, practitioners, investors, corporates and policymakers.


Originality/value
To the best of the authors’ knowledge, this is the first study to predict FP by using FinBERT-based managerial sentiment, particularly in an emerging market context."
2024-07-19,Identifying greenwashing in corporate‐social responsibility reports using natural‐language processing,10.1111/eufm.12509,"Nina Gorovaia, Michalis Makrominas",European Financial Management,Euro Fin Management,31,2024,Wiley,1,427-462,"AbstractA textual analysis of corporate‐social responsibility (CSR) reports reveals that companies engaged in environmental violations report differently from firms with a clean record. The violators issue longer, more positive and more frequent reports to relay environmental content that is more copious but less readable. The violator firms appear to modify their reporting practices right after committing a violation. The findings suggest that culpable firms exploit the current unregulated–unaudited state of CSR reporting as a means of greenwashing and call for institutional change. Our results are robust to a number of industry‐firm characteristics, including board composition, ownership dispersion and international presence."
2020-01-01,Application of Text Mining to the Analysis of Climate-Related Disclosures,10.2139/ssrn.3738629,"A Moreno, Teresa Caminero",SSRN Electronic Journal,SSRN Journal,,2020,Elsevier BV,,,"The Working Paper Series seeks to disseminate original research in economics and fi nance. All papers have been anonymously refereed. By publishing these papers, the Banco de España aims to contribute to economic analysis and, in particular, to knowledge of the Spanish economy and its international environment.The opinions and analyses in the Working Paper Series are the responsibility of the authors and, therefore, do not necessarily coincide with those of the Banco de España or the Eurosystem.The Banco de España disseminates its main reports and most of its publications via the Internet at the following website: http://www.bde.es.Reproduction for educational and non-commercial purposes is permitted provided that the source is acknowledged."
2024-07-25,Towards More Nature-Positive Outcomes: A Review of Corporate Disclosure and Decision-Making on Biodiversity,10.20944/preprints202407.2036.v1,"Maheshika Senanayake, Iman Harymawan, Gregor Dorfleitner, Seungsoo Lee, Jay Hyuk Rhee, Yong Sik Ok",,,,2024,MDPI AG,,,"Biodiversity loss and nature degradation are pressing issues with huge impacts on our society and economy. Businesses, investors, and regulators focus on corporate efforts to support biodiversity and nature positive actions. This review provides a comprehensive overview about the importance of biodiversity in businesses, the materiality of biodiversity and the role of mandatory and non-mandatory regulations on corporate environmental reporting and sustainability disclosure frameworks. The review also discusses descriptive information on the evolution of sustainability frameworks with a comparison of most prominent sustainability frameworks with a key focus on the materiality approach and biodiversity-related disclosure recommendations. Further, we provide suggestions for more holistic approaches to improve the future sustainability frameworks focusing on the biodiversity impact while showing the necessity of more focus on the decision-making paradigm. Further research on measuring biodiversity impact and innovative trends in sustainability reporting are required to better reflect nature-positive outcomes in corporate sector businesses."
2022-06-25,"Impact of ESG (Environmental, Social, Governance) on the Performance of Electric Utilities",10.7849/ksnre.2022.0010,"Byungguk Ko, Kyu-Hwan Lee, Yong-Beum Yoon, Soojin Park",New & Renewable Energy,ksnre,18,2022,The Korean Society for New and Renewable Energy,2,60-72,"This work is published under the responsibility of the Secretary-General of the OECD. The opinions expressed and arguments employed herein do not necessarily reflect the official views of OECD member countries. This document, as well as any data and map included herein, are without prejudice to the status of or sovereignty over any territory, to the delimitation of international frontiers and boundaries and to the name of any territory, city or area."
2022-04-01,Banks' governance and risk management frameworks: how to integrate ESG and climate risks,10.47473/2020rmm0103,"Giuliana Birindelli, Michelangelo Bruno, Alberto Citterio, Umberto Fuso, Guido Luciano Genero, Andrea Magurano",Risk Management Magazine,RMM,17,2022,Italian Association of Financial Industry Risk Managers (AIFIRM),1,25-35,"The transition towards a sustainable economy is currently one of the most pressing issues for managers, stakeholders and policy makers. For the banking sector, several regulatory initiatives have been promoted by European Supervisors and Regulators, which have recognized the pivotal role of financial sector in enhancing sustainable economic development and the risks to which financial intermediaries are exposed during this transition. The main purpose of this article is to outline the key elements that are crucial for a proper integration of sustainability and ESG considerations into banks' strategic choices, business processes and risk management framework. In particular, an analysis of the main practices, regulatory requirements and outstanding issues will be performed in order to provide an overview of the main challenges that banks need to address in order to successfully incorporate ESG risks into their business processes and risk management frameworks. In addition, given the ongoing heterogeneity in the application of such regulatory expectations, the article provides an update on the state-of-the-art by reviewing the main international research and studies on this topic and by presenting the findings of some surveys carried out by the ECB and Aifirm (Associazione italiana financial risk managers) on a sample of European and Italian banks respectively."
2024-06-01,"Recent Trends on Environmental, Social and Governance Research: A Bibliometric Analysis",10.1177/09726225241237304,"Purva Kansal, Keshav Malhotra, Neelam",Metamorphosis,Metamorphosis: A Journal of Management Research,23,2024,SAGE Publications,1,7-22,"Purpose: Environmental, social, and governance (ESG) is becoming a key concept of sustainability around the world. There is a tremendous increase in academic interest in ESG. It is difficult for researchers to structure a large quantity of unstructured data through a structured literature review or meta-analysis. Although, in recent years, many visualization tools have been invented for structuring or visualization of large quantities of literature, yet, there is currently a lack of bibliometric and visualization studies on this subject. To fill this lacuna, this study is conducted to analyse the publication metrics on the ESG literature and to give a research agenda for future research. This study will clarify the conceptual underpinnings of the ESG field serving as a reference for ESG development to help researchers and stakeholders quickly grasp the fundamentals of this subject. Design/Methodology/Approach: An extensive literature review was carried out on ESG spread over the period between 2008 and 2022 published journals identified from online academic databases of Scopus. A total of 701 conceptual and empirical articles were analysed. To achieve the objectives of the study, bibliometric analysis was used. To conduct bibliometric analysis, Biblioshiny application of RStudio and VOSviewer software was used. Findings: This study highlighted key trends, emerging themes and sub-themes by analysing the statistical profile of ESG literature, most productive ESG research journals, authors, countries, keywords and their collaboration status using bibliometric analysis. Research implications: By providing the distribution schema of ESG articles based on different criteria and by providing the future research areas, the present study would help future researchers to understand the current status of ESG research in the business industry as well as in academia and take this research area forward. Originality/Value: This bibliometric analysis provides a holistic view of ESG literature highlighting major research themes and their related sub-themes addressed in the research studies to date."
2025-09-15,Compliance or Transformation? Competing Logics in <scp>ESG</scp> Education for Business Executives,10.1111/ejed.70225,"H JIA, E Chen, Xiaoqin Xu, Danchao Xu",European Journal of Education,Euro J of Education,60,2025,Wiley,4,,"ABSTRACTAs Environmental, Social and Governance (ESG) concerns become central to corporate strategy, business schools are increasingly tasked with equipping executives to navigate this evolving terrain. This study examines the competing educational logics shaping ESG executive education: a compliance logic emphasising regulatory adherence and technical proficiency, and a transformative logic oriented toward ethical reflection, systems thinking and societal change. Using an institutional logics framework, we conduct a qualitative curriculum analysis of 16 ESG‐focused executive programs offered by leading business schools across North America, Europe and Asia‐Pacific. Our findings reveal that most programs overwhelmingly prioritise compliance, with limited incorporation of critical content, interdisciplinary perspectives or transformative pedagogies. Pedagogical designs tend to favour traditional formats and close corporate alignment, reinforcing existing business paradigms rather than challenging them. We argue that this orientation may constrain the potential of ESG education to drive deeper organisational and societal change. To address this, we propose a co‐existence model that integrates both compliance and transformative elements, offering a blueprint for reimagining executive ESG curricula. This paper contributes to scholarship on sustainability education and institutional theory, and offers actionable recommendations for curriculum developers seeking to foster competent and conscious sustainability leadership."
2025-08-15,Environmental Management Accounting for Sustainable Development in Greece,10.1002/csr.70116,"Chatzipetrou Evrikleia, Papanikolaou Glykeria‐Maria, Tiakas Eleftherios, B. GEORGIA",Corporate Social Responsibility and Environmental Management,Corp Soc Responsibility Env,32,2025,Wiley,6,7987-8010,"ABSTRACTInspired by the view that Sustainable Development is now considered a global goal, the present paper aims at highlighting the mediating role of various factors in the relationship between Environmental Management Accounting and the implementation of sustainability reporting standards. Multiple linear regression analysis was conducted on the total sample of 160 companies listed on the Athens Stock Exchange in 2022 to investigate, on the one hand, the extent of adoption of sustainability reporting standards and, on the other hand, whether certain company traits and financial characteristics affect the company's obligation to adopt sustainability standards. The results demonstrate a significant positive correlation between certain company characteristics (i.e., industry sector and company size) and the adoption of sustainability reporting standards. Our findings also reveal that a mere 8.70% of companies with over 500 employees do not adopt any of these sustainability reporting standards. This study aims to motivate, both at the national and international level, policymakers to design and formulate strategies related to Environmental Management Accounting and consequently Green Accounting, as a commonly accepted practice by all countries so that stakeholders can be informed about the assessment of business performance and of their value and prospects through the uniform disclosure of information."
2023-01-01,Overview of climate disclosures,10.1017/s135732172300017x,"Daniel C. Dey, Lyn Richards, Monika Arora, Edmund J. Boyle, Reid A. Bryson, Stephen V. Jackman, Kavumpurathu Raman Thankappan, C. Shirazi",British Actuarial Journal,Br. Actuar. J.,28,2023,Cambridge University Press (CUP),,,"Abstract
	  Climate change is at the forefront of discussions for many companies. Climate change-related disclosures and reporting are important tools and allow stakeholders to understand climate-related risks a company is facing and help various stakeholders to take informed decisions.
	  The landscape for climate change-related reporting requirements is ever evolving, with a trend from voluntary to mandatory, with many global disclosure standards and requirements influencing local requirements and other related standards.
	  This paper explores these ideas further, giving a general background to disclosure requirements, discusses greenwashing, details disclosure organisations including TCFD and the ISSB, and provides details on a country level including green taxonomies."
