,sentence_norm,canonical_aspect,majority_category,majority_sentiment,majority_tone,runs_count
1678,"Intiland dikenal sebagai pengembang properti yang transparan, dapat dipercaya, dan menjadi trendsetter yang berkomitmen terhadap pertumbuhan dan profitabilitas yang berkelanjutan dan berjangka panjang yang berlaku adil dengan semua pemangku kepentingan.",corporate governance,none,positive,commitment,1
1679,"Intiland dikenal sebagai pengembang properti yang transparan, dapat dipercaya, dan menjadi trendsetter yang berkomitmen terhadap pertumbuhan dan profitabilitas yang berkelanjutan dan berjangka panjang yang berlaku adil dengan semua pemangku kepentingan.",sustainable and fair business growth commitment,s,positive,commitment,1
1680,Intiland memberi peluang bagi seluruh masyarakat Indonesia untuk menikmati kehidupan yang nyaman.,social impact,e-s-g,positive,action,1
1681,"Intiland mempromosikan hidup yang baik (living well) dalam aspek kesejahteraan dan kesehatan, sebuah fokus yang semakin berkembang dalam beberapa tahun terakhir di kalangan generasi muda.",health and well-being,e-s,positive,action,1
1682,Intiland mempromosikan hidup yang baik (living well) dalam aspek kesejahteraan dan kesehatan.,health and wellbeing,g,positive,commitment,1
1683,Intiland mempromosikan hidup yang baik dalam aspek kesejahteraan dan kesehatan.,kesejahteraan,e,positive,commitment,1
1684,Intiland menjadi salah satu pengembang properti terdepan di Indonesia.,company leadership,s,positive,outcome,1
1685,Intiland menjadi salah satu pengembang properti terdepan di Indonesia.,corporate leadership in real estate development,s,positive,outcome,1
1686,Intiland menjadi salah satu pengembang properti terdepan di Indonesia.,market leadership,s,positive,outcome,1
1687,Intiland menjadi salah satu pengembang properti terdepan di Indonesia.,pengembang properti,s,neutral,neutral,1
1688,"Intiland menjadi salah satu perusahaan pendiri Konsil Bangunan Hijau Indonesia atau Green Building Council Indonesia (GBCI), sebuah organisasi yang mendorong penerapan prinsip bangunan hijau di sektor bangunan.",green building initiative participation,e-s-g,positive,outcome,1
1689,"Intiland menjadi salah satu perusahaan pendiri Konsil Bangunan Hijau Indonesia atau Green Building Council Indonesia (GBCI), sebuah organisasi yang mendorong penerapan prinsip bangunan hijau di sektor bangunan.",industry leadership in sustainability,,positive,outcome,1
1690,Intiland menjadi salah satu perusahaan pendiri Konsil Bangunan Hijau Indonesia atau Green Building Council Indonesia (GBCI).,green building council founding member,e-s-g,positive,outcome,1
1691,"Intiland telah mengembangkan lebih dari 65 proyek, dengan lebih dari 1.981 hektare cadangan lahan dan memiliki 1.288 karyawan.",scale of operations,s,neutral,outcome,1
1692,"Intraco Penta mendapatkan 5 Penghargaan terbaik tingkat global pada acara ini, diantaranya : Outstanding Regional Dealer 2023, Excellence in Service 2023, Excellence in Spare Parts Business 2023, Excellence in Mining Truck Business 2023, Second Prize LiuGong Global Technical Skills Competition 2023.",industry recognition and performance excellence,e,positive,outcome,1
1693,Investasi Untuk Pelestarian Lingkungan,environmental conservation investment,none,positive,action,1
1694,Investasi Untuk Pelestarian Lingkungan Investment in Environmental Conservation,environmental conservation investment,e,positive,action,1
1695,"Investasi dalam bidang riset dan pengembangan untuk menciptakan produk bahan bangunan yang ramah lingkungan dan inovatif, menggunakan material daur ulang.",r&d for eco-friendly products,e-s-g,positive,action,1
1696,"Investasi dalam bidang riset dan pengembangan untuk menciptakan produk bahan bangunan yang ramah lingkungan dan inovatif, menggunakan material daur ulang.",r&d for sustainable materials,,positive,action,1
1697,"Investasi dalam bidang riset dan pengembangan untuk menciptakan produk bahan bangunan yang ramah lingkungan dan inovatif, menggunakan material daur ulang.",r&d investment,s,positive,action,1
1698,Investasi ini merupakan bagian dari komitmen Perseroan untuk menciptakan nilai ekonomi jangka panjang di Indonesia.,economic commitment,g,positive,commitment,1
1699,Investasi ini merupakan bagian dari komitmen Perseroan untuk menciptakan nilai ekonomi jangka panjang di Indonesia.,economic contribution,e,positive,outcome,1
1700,Investasi ini merupakan bagian dari komitmen Perseroan untuk menciptakan nilai ekonomi jangka panjang di Indonesia.,long-term economic value creation,s,positive,commitment,1
1701,Investasi pada Program Tanggung Jawab Sosial dan Lingkungan Investment in the Social and Environmental Responsibility Program,social investment,e,positive,action,1
1702,Investasi pada sumber daya manusia untuk meningkatkan kesejahteraan mereka sambil tetap memperhatikan dampaknya terhadap lingkungan.,employee development,e,positive,action,1
1703,Investor Magazine - Best Listed Company 2013.,awards,e,positive,outcome,1
1704,Investor Magazine – Best Listed Company 2013,corporate governance,s,positive,outcome,1
1705,Investor Magazine – Best Listed Company 2013,corporate reputation,s,positive,outcome,1
1706,"Issued 316,052,291 Seri A shares with an exercise price of Rp935.60 per share to JAPFA Ltd.",financial strategy,e,neutral,outcome,1
1707,Issued Japfa I 2007 bond worth Rp500 billion.,financial strategy,e-s-g,neutral,outcome,1
1708,"Isu perubahan iklim yang semakin menjadi perhatian di kalangan pemangku kepentingan dan masyarakat, menekan Perusahaan untuk terus berinovasi dalam mengurangi dampak lingkungannya.",climate change and innovation,s,neutral,action,2
1709,"Isu perubahan iklim yang semakin menjadi perhatian di kalangan pemangku kepentingan dan masyarakat, menekan Perusahaan untuk terus berinovasi dalam mengurangi dampak lingkungannya.",climate change innovation,e,neutral,action,1
1710,"It aligns with our Sustainability Policy, which we established in 2023.",sustainability policy,e,positive,commitment,1
1711,"It also adheres to criteria specified in the Circular Letter of the Financial Services Authority (Surat Edaran Otoritas Jasa Keuangan or ""SEOJK"") No. 16/SEOJK.04/2021, which delineates the Form and Contents of the Annual Report of Issuers or Public Companies.",regulatory compliance,e-s-g,neutral,commitment,2
1712,"It also follows the criteria established in the Circular Letter of the Financial Services Authority (Surat Edaran Otoritas Jasa Keuangan or ""SEOJK"") No. 16/SEOJK.04/2021, detailing the Form and Contents of the Annual Report of Issuers or Public Companies.",regulatory compliance,s,neutral,commitment,3
1713,"It also follows the criteria established in the Circular Letter of the Financial Services Authority (Surat Edaran Otoritas Jasa Keuangan or ""SEOJK"") No. 16/SEOJK.04/2021.",regulatory compliance,s,neutral,commitment,1
1714,It is hoped that our steps in channeling financing to environmentally friendly sectors can make a significant contribution in supporting the achievement of Indonesia's NZE target.,environmental protection,g,positive,commitment,1
1715,"It is pleasing to note that the increase in full-year profits means we can allocate a further SEK 177 million to the H&M Incentive Program, for all H&M group employees.",employee incentive program,e-s-g,positive,outcome,1
1716,"It means that the Company has proven its capability to achieve good economic performance through the implementation of good corporate governance, while at the same time respecting the social and environmental aspects in running its business.",corporate governance,,positive,outcome,4
1717,"It means that the Company has proven its capability to achieve good economic performance through the implementation of good corporate governance, while at the same time respecting the social and environmental aspects in running its business.",economic performance,e-s-g,positive,outcome,2
1718,"It means that the Company has proven its capability to achieve good economic performance through the implementation of good corporate governance, while at the same time respecting the social and environmental aspects in running its business.",economic performance with governance and sustainability,s,positive,outcome,1
1719,"It means that the Company has proven its capability to achieve good economic performance through the implementation of good corporate governance, while at the same time respecting the social and environmental aspects in running its business.",environmental responsibility,e,positive,outcome,1
1720,"It means that the Company has proven its capability to achieve good economic performance through the implementation of good corporate governance, while at the same time respecting the social and environmental aspects in running its business.",esg integration,e,positive,outcome,1
1721,"It means that the Company has proven its capability to achieve good economic performance through the implementation of good corporate governance, while at the same time respecting the social and environmental aspects in running its business.",integrated sustainability performance,e,positive,outcome,1
1722,"It means that the Company has proven its capability to achieve good economic performance through the implementation of good corporate governance, while at the same time respecting the social and environmental aspects in running its business.",social responsibility,e-s-g,positive,outcome,1
1723,"It means that the Company has proven its capability to achieve good economic performance through the implementation of good corporate governance, while at the same time respecting the social and environmental aspects in running its business.",triple bottom line performance,none,positive,outcome,1
1724,It was on this basis that we issued a 350 million US dollar Sustainability-Linked Bond in 2021 with a 5.375% coupon maturing in 2026.,sustainability-linked bond issuance,s,positive,action,1
1725,"Its shareholding structure includes 50.07% ownership held by First Pacific Investment Management Limited and 49.93% ownership held by the public, with ownership interest below 5%.",ownership structure,e,neutral,outcome,2
1726,"JAPFA # Menyediakan Pangan Hari Ini, Menjamin Pangan Masa Depan Feeding the Present, Securing Food for Tomorrow",food security,s,positive,commitment,1
1727,JTLC menjadi wadah untuk meningkatkan kapabilitas serta pengetahuan manajemen dan karyawan.,peningkatan kapabilitas karyawan,e-s-g,positive,action,1
1728,JUMLAH JAM KERJA TANPA KEHILANGAN WAKTU KERJA WORKING HOURS WITHOUT LOSS TIME INJURY,working hours without loss time injury,e-s-g,positive,outcome,1
1729,JUMLAH JAM KERJA TANPA KEHILANGAN WAKTU KERJA WORKING HOURS WITHOUT LOSS TIME INJURY,workplace safety,none,positive,outcome,2
1730,"JUMLAH JAM KERJA TANPA KEHILANGAN WAKTU KERJA WORKING HOURS WITHOUT LOSS TIME INJURY 1,09 1,16 1,40 1,65 1,80",workplace safety performance,e,positive,outcome,1
1731,JUMLAH KARYAWAN 411 TOTAL EMPLOYEE,total employees,e,neutral,outcome,1
1732,JUMLAH KARYAWAN 411 TOTAL EMPLOYEE KARYAWAN,employee count,e-s,neutral,outcome,1
1733,JUMLAH KARYAWAN 411 TOTAL EMPLOYEE KARYAWAN,total employee,e-s-g,neutral,outcome,1
1734,JUMLAH KARYAWAN 411 TOTAL EMPLOYEE KARYAWAN,total employees,s,neutral,outcome,1
1735,"JUMLAH KARYAWAN 411 TOTAL EMPLOYEE KARYAWAN TINGKAT PERPUTARAN 2,7% KARYAWAN EMPLOYEE TURNOVER",employee statistics,none,neutral,outcome,1
1736,"JUMLAH KARYAWAN 411 | TINGKAT PERPUTARAN 2,7% | JUMLAH JAM KERJA TANPA KEHILANGAN WAKTU KERJA | TINGKAT KEKERAPAN 0 | TINGKAT KEPARAHAN 0",employee health & safety,e-s-g,neutral,outcome,1
1737,JUMLAH KARYAWAN LAKI-LAKI sebesar 2.619 orang,jumlah karyawan laki-laki,e,neutral,outcome,1
1738,JUMLAH KARYAWAN PEREMPUAN sebesar 1.066 orang,jumlah karyawan perempuan,e-s-g,neutral,outcome,1
1739,JUMLAH TOTAL KARYAWAN sebesar 3.685 orang,jumlah total karyawan,none,neutral,outcome,1
1740,Japfa Grup Menetapkan Rencana Aksi Keberlanjutan,sustainability strategy,e,positive,commitment,1
1741,Japfa Grup Menetapkan Rencana Aksi Keberlanjutan Japfa Group Sets Sustainability Action Plans,sustainability plan,,positive,commitment,1
1742,Japfa actively contributes to addressing the issue of food insecurity in Indonesia.,food security,e-s-g,positive,action,1
1743,Japfa berhasil mengekspor ayam hidup ke Singapura untuk pertama kalinya.,keamanan produk,s,positive,outcome,1
1744,Japfa berhasil mengekspor ayam hidup ke Singapura untuk pertama kalinya. Hal ini menunjukkan dedikasi Japfa terhadap keamanan produk dan kesejahteraan hewan.,animal welfare standards,s-g,positive,outcome,1
1745,"Japfa berkomitmen menyediakan produk yang aman, terjangkau, dan bernutrisi bagi konsumen",safe affordable nutritious products,e-s-g,positive,commitment,1
1746,"Japfa berkomitmen menyediakan produk yang aman, terjangkau, dan bernutrisi bagi konsumen.",product safety,s,positive,commitment,1
1747,"Japfa berkomitmen menyediakan produk yang aman, terjangkau, dan bernutrisi bagi konsumen.",product safety and affordability,e,positive,commitment,1
1748,"Japfa berkomitmen menyediakan produk yang aman, terjangkau, dan bernutrisi bagi konsumen.","produk aman, terjangkau, dan bernutrisi",s,positive,commitment,2
1749,"Japfa berkomitmen menyediakan produk yang aman, terjangkau, dan bernutrisi bagi konsumen.","safe, affordable, and nutritious products",e,positive,commitment,1
1750,Japfa berkomitmen untuk meminimalisasi dampak lingkungan dari kegiatan usaha kami dan secara aktif berpartisipasi dalam upaya keberlanjutan global.,environmental impact minimization,s,positive,commitment,1
1751,Japfa berkomitmen untuk tetap menjadi bagian dari kehidupan sehari-hari masyarakat Indonesia dengan berpegang teguh pada misi Japfa untuk menjadi penyedia terkemuka dan terpercaya di bidang produk pangan berprotein terjangkau di Indonesia.,affordable nutrition,none,positive,commitment,2
1752,Japfa does not have part-time employees during the reporting period.,part-time employment,e-s-g,neutral,outcome,2
1753,Japfa has constructed three additional water recycling facilities in poultry operational units.,water stewardship,,positive,outcome,1
1754,"Japfa has enhanced the Japfa Sustainability Reporting System (JSRS) expanding the coverage of JSRS, significantly improving data completeness and accuracy.",sustainability reporting,s,positive,action,1
1755,"Japfa has integrated operations from upstream to downstream, covering feed production, breeding, livestock, aquaculture and processing of livestock as well as aquaculture products.",integrated agricultural operations,none,neutral,outcome,1
1756,"Japfa has integrated operations from upstream to downstream, covering feed production, breeding, livestock, aquaculture and processing of livestock as well as aquaculture products.",integrated operations,e-s-g,neutral,outcome,1
1757,Japfa has managed to stay resilient and record a positive economic performance.,economic performance,none,positive,outcome,1
1758,Japfa has prepared a structured action plan to reduce greenhouse gas emissions and contribute to climate change mitigation.,greenhouse gas emissions reduction,e,positive,commitment,1
1759,Japfa implements an integrated production chain to continuously improve performance and efficiency.,integrated production chain,s,neutral,outcome,2
1760,Japfa ingin berkontribusi dalam menghadapi tantangan pasokan pangan saat ini.,food security,,positive,commitment,1
1761,Japfa ingin berkontribusi dalam menghadapi tantangan pasokan pangan saat ini.,food supply,none,positive,commitment,1
1762,Japfa ingin berkontribusi dalam menghadapi tantangan pasokan pangan saat ini.,kontribusi pada ketahanan pangan,,positive,commitment,1
1763,Japfa is committed to minimising the environmental impact of our business activities and actively participate in global sustainability efforts.,environmental impact minimization,e,positive,commitment,1
1764,"Japfa memiliki model bisnis terintegrasi secara vertikal yang meliputi hulu, tengah, dan hilir",vertically integrated business model,,neutral,outcome,1
1765,"Japfa memiliki model bisnis terintegrasi secara vertikal yang meliputi hulu, tengah, dan hilir.",business model,e,neutral,outcome,1
1766,"Japfa memiliki model bisnis terintegrasi secara vertikal yang meliputi hulu, tengah, dan hilir.",model bisnis,s,neutral,outcome,1
1767,"Japfa memiliki model bisnis terintegrasi secara vertikal yang meliputi hulu, tengah, dan hilir.",model bisnis terintegrasi,none,neutral,outcome,1
1768,Japfa memperoleh Sustainability-linked Loan (SLL) dari PT Bank Negara Indonesia (BNI) yang menjadi langkah penting untuk mendorong perekonomian berkelanjutan.,sustainability-linked loan,none,positive,action,1
1769,Japfa memperoleh Sustainability-linked Loan (SLL) dari PT Bank Negara Indonesia (Persero) Tbk (BNI).,sustainable finance,e,positive,action,1
1770,Japfa menerapkan rantai produksi yang terintegrasi untuk meningkatkan kinerja dan efisiensi secara terus menerus,integrated production chain,,neutral,outcome,1
1771,Japfa menerapkan rantai produksi yang terintegrasi untuk meningkatkan kinerja dan efisiensi secara terus menerus,integrated production chain for efficiency,e-s-g,neutral,outcome,1
1772,Japfa menerapkan rantai produksi yang terintegrasi untuk meningkatkan kinerja dan efisiensi secara terus menerus.,vertically integrated production system,s,neutral,outcome,1
1773,Japfa menyusun rencana aksi yang terstruktur untuk mengurangi emisi gas rumah kaca,ghg emissions,g,positive,commitment,1
1774,Japfa menyusun rencana aksi yang terstruktur untuk mengurangi emisi gas rumah kaca dan berkontribusi dalam mitigasi perubahan iklim.,environmental protection,s,positive,commitment,1
1775,Japfa menyusun rencana aksi yang terstruktur untuk mengurangi emisi gas rumah kaca dan berkontribusi dalam mitigasi perubahan iklim.,greenhouse gas emissions,s,positive,commitment,1
1776,Japfa secara aktif berkontribusi dalam mengatasi masalah kerawanan pangan di Indonesia.,food security,none,positive,action,2
1777,Japfa secara aktif berkontribusi dalam mengatasi masalah kerawanan pangan di Indonesia.,food security initiatives,e,positive,action,1
1778,Japfa secara aktif berkontribusi dalam mengatasi masalah kerawanan pangan di Indonesia.,nutrition access,s,positive,action,2
1779,Japfa successfully exported live bird to Singapore for the first time.,animal welfare and product safety,none,positive,outcome,1
1780,Japfa telah berhasil membangun delapan dari sembilan fasilitas daur ulang air pada tahun 2023.,pengelolaan air,s,positive,outcome,1
1781,Japfa telah berhasil membangun delapan dari sembilan fasilitas daur ulang air pada tahun 2023.,water stewardship,none,positive,outcome,1
1782,Japfa terpilih masuk dalam Indeks IDX LQ45 Low Carbon Leaders untuk periode 11 November 2022 - 31 Januari 2023.,carbon emissions,none,positive,outcome,1
1783,Japfa terpilih masuk dalam Indeks IDX LQ45 Low Carbon Leaders untuk periode 11 November 2022 - 31 Januari 2023.,carbon emissions reduction,none,positive,outcome,1
1784,Japfa terpilih masuk dalam Indeks IDX LQ45 Low Carbon Leaders untuk periode 11 November 2022 - 31 Januari 2023.,carbon performance,none,positive,outcome,1
1785,Japfa terpilih masuk dalam Indeks IDX LQ45 Low Carbon Leaders untuk periode 11 November 2022 - 31 Januari 2023.,inclusion in idx lq45 low carbon leaders index,none,positive,outcome,1
1786,Japfa terpilih masuk dalam Indeks IDX LQ45 Low Carbon Leaders untuk periode 11 November 2022 - 31 Januari 2023.,indeks idx lq45 low carbon leaders,s,positive,outcome,1
1787,Japfa terpilih masuk dalam Indeks IDX LQ45 Low Carbon Leaders yang menunjukkan komitmen kuat kami terhadap keberlanjutan.,carbon performance recognition,e-s-g,positive,outcome,1
1788,Japfa tetap mampu menjaga kelangsungan usahanya dan membukukan kinerja ekonomi yang positif.,economic performance,e,positive,outcome,1
1789,Japfa tidak memiliki karyawan paruh waktu pada periode pelaporan.,employment practices,e-s,neutral,outcome,1
1790,Japfa upholds food safety and food product tracking as our main concern.,food safety,e,positive,commitment,1
1791,Jasa Marga always takes advantage of opportunities from the rapid development of digital technology to continue to innovate in improving services amidst the challenges of the COVID-19 pandemic.,innovation,e,positive,action,1
1792,Jasa Marga always takes advantage of opportunities from the rapid development of digital technology to continue to innovate in improving services amidst the challenges of the COVID-19 pandemic.,technological innovation,s,positive,action,1
1793,Jasa Marga ber komitmen untuk terus berkontribusi dalam upaya mengkonversi penggunaan bahan bakar berbasis fosil menuju bahan bakar berbasis baterai dan listrik.,fossil fuel conversion commitment,g,positive,commitment,2
1794,Jasa Marga berkomitmen untuk terus berkontribusi dalam upaya mengkonversi penggunaan bahan bakar berbasis fosil menuju bahan bakar berbasis baterai dan listrik.,komitmen lingkungan,e-s-g,positive,commitment,1
1795,Jasa Marga continuously developed new toll roads to support the achievement of Indonesian economic growth acceleration and distribution.,economic growth support,none,positive,action,1
1796,Jasa Marga continuously developed new toll roads to support the achievement of Indonesian economic growth acceleration and distribution.,infrastructure development,e-s-g,positive,action,3
1797,Jasa Marga contributes to the inter-region connectivity strengthening while developing and doubling the Company's business growth.,connectivity strengthening,e,positive,action,1
1798,Jasa Marga contributes to the inter-region connectivity strengthening while developing and doubling the Company's business growth.,regional connectivity,s,positive,action,1
1799,Jasa Marga has more than 40 years of experience in the field of toll road construction and operation in various regions of Indonesia.,business experience and operations,s,neutral,outcome,1
1800,Jasa Marga senantiasa memanfaatkan peluang dari perkembangan teknologi digital yang begitu pesat untuk terus berinovasi dalam meningkatkan pelayanan di tengah tantangan pandemi COVID-19.,innovation,e-s-g,positive,action,1
1801,Jasa Marga senantiasa memanfaatkan peluang dari perkembangan teknologi digital yang begitu pesat untuk terus berinovasi dalam meningkatkan pelayanan di tengah tantangan pandemi COVID-19.,inovasi teknologi,e,positive,action,1
1802,Jasa Marga terus mengembangkan ruas-ruas tol baru dalam rangka mendukung tercapainya percepatan pertumbuhan dan pemerataan ekonomi Indonesia.,infrastructure investment,e,positive,action,1
1803,Jasa Marga terus mengembangkan ruas-ruas tol baru dalam rangka mendukung tercapainya percepatan pertumbuhan dan pemerataan ekonomi Indonesia.,pengembangan infrastruktur,s,positive,action,1
1804,Jasa Marga's sustainability focus on building sustainable operations and business is realized through competitive capabilities.,business sustainability strategy,g,positive,commitment,1
1805,Jasa Marga's sustainability focus on building sustainable operations and business is realized through competitive capabilities.,sustainability strategy,none,positive,commitment,2
1806,Jasa Marga's sustainability focus on building sustainable operations and business is realized through competitive capabilities.,sustainable operations,none,positive,action,2
1807,Jasa Marga's sustainability focus on building sustainable operations and business is realized through competitive capabilities.,sustainable operations and competitiveness,none,positive,action,1
1808,"Jauh sebelum konsep bangunan hijau populer seperti saat ini, Pendiri dan Direktur Utama Intiland Bapak Hendro S. Gondokusumo telah memiliki visi untuk membangun gedung perkantoran berkonsep hemat energi.",environmental innovation,e-g,positive,commitment,1
1809,"Jauh sebelum konsep bangunan hijau populer seperti saat ini, Pendiri dan Direktur Utama Intiland Bapak Hendro S. Gondokusumo telah memiliki visi untuk membangun gedung perkantoran berkonsep hemat energi.",sustainable building,e-s,positive,commitment,1
1810,"Jumlah Audience Share meningkat dari 25,6% (2021) ke 34,9% (2023)",market leadership,g,positive,outcome,1
1811,Jumlah Karyawan (Orang) 4.519,employee count,s,neutral,outcome,1
1812,Jumlah Karyawan (Orang) 4.519.,total employees 2022,none,neutral,outcome,1
1813,Jumlah Karyawan Perempuan dalam Struktur Manajemen Senior Number of Female Employees in Senior Management Structure Orang/Person - 4 - 4 - 4,gender diversity in management,g,positive,outcome,1
1814,Jumlah Karyawan yang Meninggalkan Perseroan [404-1],employee turnover,none,neutral,outcome,1
1815,Jumlah Perempuan dalam Struktur Manajemen Senior: 4 orang (2023),gender diversity,e-s,positive,outcome,1
1816,Jumlah UMKM Rumah BUMN 13.969 Total MSMEs Rumah BUMN 13.969,msme support,,positive,action,1
1817,Jumlah ini menurun dibandingkan dengan tahun 2022 yang tercatat sebesar 198.429 ton Dissolving Pulp karena berkurangnya pasokan bahan baku (kayu) dari sebagian wilayah kegiatan operasional PBPH Perusahaan akibat adanya klaim-klaim tanah yang dilakukan oleh sekelompok masyarakat di wilayah operasional PBPH Perusahaan.,supply chain disruption,s,negative,outcome,1
1818,Jumlah karyawan (Orang) # 4.223,employee count,s,neutral,outcome,1
1819,Jumlah karyawan perempuan dalam struktur manajemen senior mencapai 31 orang pada tahun 2024.,gender equality,e,positive,outcome,1
1820,Jumlah total karyawan berdasarkan jenis kontrak dan jenis kelamin menunjukkan komposisi 24.996 pekerja.,employment data,none,neutral,outcome,1
1821,KARYAWAN TERDAFTAR DI SAFETY COMMITTEE 16%,occupational health & safety,e-s-g,neutral,outcome,1
1822,KARYAWAN TERDAFTAR DI SAFETY COMMITTEE EMPLOYEE REPRESENTATIVES AT SAFETY COMMITTEE,employee representatives at safety committee,s,neutral,outcome,2
1823,KARYAWAN TERDAFTAR DI SAFETY COMMITTEE EMPLOYEE REPRESENTATIVES AT SAFETY COMMITTEE 16%,occupational health and safety committee representation,g,neutral,outcome,1
1824,KARYAWAN TERDAFTAR DI SAFETY COMMITTEE EMPLOYEE REPRESENTATIVES AT SAFETY COMMITTEE 16%,safety committee representation,s,neutral,outcome,1
1825,"KARYAWAN TINGKAT PERPUTARAN 2,7% KARYAWAN EMPLOYEE TURNOVER",employee turnover rate,e,neutral,outcome,1
1826,KEANGGOTAAN DALAM ASOSIASI Membership in Associations,membership in associations,s,neutral,outcome,1
1827,KEBIJAKAN PERLINDUNGAN DAN PENGELOLAAN LINGKUNGAN HIDUP Environmental Protection and Management Policy,environmental protection and management policy,,positive,commitment,1
1828,KERANGKA KERJA PENGEMBANGAN DAN PEMBERDAYAAN MASYARAKAT Community Development and Empowerment Framework,community development and empowerment framework,s,positive,commitment,1
1829,KERANGKA KERJA PENGEMBANGAN DAN PEMBERDAYAAN MASYARAKAT Community Development and Empowerment Framework,community development framework,e-s-g,positive,commitment,1
1830,KINERJA K3 OHS Performance,occupational health and safety performance,none,positive,outcome,1
1831,KINERJA K3 OHS Performance,ohs performance,none,positive,outcome,1
1832,KINERJA PENGEMBANGAN SUMBER DAYA MANUSIA Human Resource Development Performance,human resource development performance,none,positive,outcome,1
1833,KODE ETIK (Code of Conduct),ethical compliance,e-s-g,positive,commitment,1
1834,KODE ETIK Code of Conduct,code of conduct,e-s-g,positive,commitment,1
1835,KOMITE KESELAMATAN PERTAMBANGAN DAN LINGKUNGAN Mining and Environment Safety Committee,mining and environment safety committee,none,positive,action,1
1836,KOMITMEN DALAM MENGEMBANGKAN SUMBER DAYA MANUSIA,commitment to human resource development,e,positive,commitment,1
1837,KOMITMEN DALAM MENGEMBANGKAN SUMBER DAYA MANUSIA,human resource development,none,positive,action,1
1838,KOMITMEN DALAM MENGEMBANGKAN SUMBER DAYA MANUSIA 78 COMMITMENT IN HUMAN RESOURCE DEVELOPMENT,commitment to human resource development,s,positive,commitment,1
1839,KOMITMEN DALAM MENGEMBANGKAN SUMBER DAYA MANUSIA 78 COMMITMENT IN HUMAN RESOURCE DEVELOPMENT,human resource development,e-s-g,positive,action,1
1840,KOMITMEN DALAM MENGEMBANGKAN SUMBER DAYA MANUSIA COMMITMENT IN HUMAN RESOURCE DEVELOPMENT,human resource development commitment,s,positive,commitment,1
1841,KOMITMEN DALAM MENINGKATKAN KINERJA KESELAMATAN DAN KESEHATAN KERJA,commitment to occupational health and safety,s,positive,commitment,1
1842,KOMITMEN DALAM MENINGKATKAN KINERJA KESELAMATAN DAN KESEHATAN KERJA,occupational health and safety performance,e,positive,outcome,1
1843,KOMITMEN DALAM MENINGKATKAN KINERJA KESELAMATAN DAN KESEHATAN KERJA 92 COMMITMENT IN IMPROVING OCCUPATIONAL HEALTH AND SAFETY PERFORMANCE,commitment to improving occupational health and safety performance,e,positive,commitment,1
1844,KOMITMEN DALAM MENINGKATKAN KINERJA KESELAMATAN DAN KESEHATAN KERJA 92 COMMITMENT IN IMPROVING OCCUPATIONAL HEALTH AND SAFETY PERFORMANCE,occupational health and safety,e,positive,action,1
1845,KOMITMEN DALAM MENINGKATKAN KINERJA KESELAMATAN DAN KESEHATAN KERJA COMMITMENT IN IMPROVING OCCUPATIONAL HEALTH AND SAFETY PERFORMANCE,occupational health and safety commitment,,positive,commitment,1
1846,KOMITMEN DALAM MENINGKATKAN KINERJA PENGELOAAN LINGKUNGAN HIDUP,environmental protection and management,e,positive,action,1
1847,KOMITMEN DALAM MENINGKATKAN KINERJA PENGELOAAN LINGKUNGAN HIDUP 114 COMMITMENT TO ENVIRONMENTAL PROTECTION AND MANAGEMENT,commitment to environmental protection and management,none,positive,commitment,1
1848,KOMITMEN DALAM MENINGKATKAN KINERJA PENGELOAAN LINGKUNGAN HIDUP 114 COMMITMENT TO ENVIRONMENTAL PROTECTION AND MANAGEMENT,environmental protection and management,e,positive,action,1
1849,KOMITMEN DALAM MENINGKATKAN KINERJA PENGELOAAN LINGKUNGAN HIDUP COMMITMENT TO ENVIRONMENTAL PROTECTION AND MANAGEMENT,environmental protection and management commitment,none,positive,commitment,1
1850,KOMITMEN DALAM MENINGKATKAN KINERJA PENGELOLAAN LINGKUNGAN HIDUP,commitment to environmental protection and management,e,positive,commitment,1
1851,KOMITMEN LINGKUNGAN DALAM RANTAI PASOKAN (Environmental Commitments in the Supply Chain),supply chain management,s,positive,commitment,1
1852,KOMITMEN LINGKUNGAN DALAM RANTAI PASOKAN Environmental Commitments in the Supply Chain,environmental commitments in the supply chain,e,positive,commitment,1
1853,KOMITMEN LINGKUNGAN DALAM RANTAI PASOKAN Environmental Commitments in the Supply Chain,supply chain environmental commitment,s,positive,commitment,1
1854,KOMITMEN MENGEDEPANKAN KESELAMATAN DAN KESEHATAN BEKERJA COMMITMENT TO PRESERVING OCCUPATION HEALTH AND SAFETY,commitment to occupational health and safety,,positive,commitment,1
1855,KOMITMEN MENGEDEPANKAN KESELAMATAN DAN KESEHATAN BEKERJA COMMITMENT TO PRESERVING OCCUPATION HEALTH AND SAFETY,occupational health and safety,e,positive,action,1
1856,KOMITMEN MENJAGA KEBERLANJUTAN LINGKUNGAN,environmental sustainability,e-s-g,positive,commitment,1
1857,KOMITMEN PADA LINGKUNGAN # SOSIAL DAN TATA KELOLA # UNTUK NILAI TAMBAH YANG BERKELANJUTAN,"commitment to environmental, social and governance",g,positive,commitment,1
1858,"KOMITMEN PADA LINGKUNGAN # SOSIAL DAN TATA KELOLA # UNTUK NILAI TAMBAH YANG BERKELANJUTAN COMMITMENT TO ENVIRONMENTAL, SOCIAL AND GOVERNANCE FOR SUSTAINABLE ADDED VALUE",commitment to sustainability,e,positive,commitment,1
