"f-20","box-title","full-width","table","link-download href","table 2","link-download href 2","table 3","link-download href 3","table 4","link-download href 4","table 5","link-download href 5","table 6","link-download href 6","table 7","link-download href 7"
"PSKT","29 April 2026 |
								16:10","PT Red Planet Indonesia Tbk","Check List VIII G 7 - LK RPI 31 Maret 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PSKT/Check%20List%20VIII%20G%207%20-%20LK%20RPI%2031%20Maret%202026.pdf","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PSKT/inlineXBRL.zip","FinancialStatement-2026-I-PSKT.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PSKT/FinancialStatement-2026-I-PSKT.pdf","FinancialStatement-2026-I-PSKT.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PSKT/FinancialStatement-2026-I-PSKT.xlsx","LK 31 Maret 2026 PT Red Planet Indonesia Tbk.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PSKT/LK%2031%20Maret%202026%20PT%20Red%20Planet%20Indonesia%20Tbk.pdf","DirStat RPI Tbk - 31 Maret 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PSKT/DirStat%20RPI%20Tbk%20-%2031%20Maret%202026.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PSKT/instance.zip"
"PSSI","29 April 2026 |
								16:14","PT IMC Pelita Logistik Tbk","FinancialStatement-2026-I-PSSI.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PSSI/FinancialStatement-2026-I-PSSI.pdf","Board of Directors Statement 2026-I-PSSI.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PSSI/Board%20of%20Directors%20Statement%202026-I-PSSI.pdf","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PSSI/inlineXBRL.zip","FinancialStatement-2026-I-PSSI.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PSSI/FinancialStatement-2026-I-PSSI.xlsx","Consolidated FS PSSI 31Mar26 (Unaudited).pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PSSI/Consolidated%20FS%20PSSI%2031Mar26%20(Unaudited).pdf","FinancialStatement-Checklist-2026-I-PSSI.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PSSI/FinancialStatement-Checklist-2026-I-PSSI.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PSSI/instance.zip"
"PTBA","30 April 2026 |
								12:30","PT Bukit Asam (Persero) Tbk","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTBA/inlineXBRL.zip","FinancialStatement-2026-I-PTBA.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTBA/FinancialStatement-2026-I-PTBA.pdf","Checklist Pengungkapan TW I 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTBA/Checklist%20Pengungkapan%20TW%20I%202026.pdf","Letter PTBA to Eks - Laporan Keuangan 1Q26.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTBA/Letter%20PTBA%20to%20Eks%20-%20Laporan%20Keuangan%201Q26.pdf","FS PTBA TW I 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTBA/FS%20PTBA%20TW%20I%202026.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTBA/instance.zip","FinancialStatement-2026-I-PTBA.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTBA/FinancialStatement-2026-I-PTBA.xlsx"
"PTIS","30 April 2026 |
								15:39","Indo Straits Tbk","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTIS/inlineXBRL.zip","Surat Pernyataan Direksi - LK TW 1 - 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTIS/Surat%20Pernyataan%20Direksi%20-%20LK%20TW%201%20-%202026.pdf","FinancialStatement-2026-I-PTIS.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTIS/FinancialStatement-2026-I-PTIS.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTIS/instance.zip","FinancialStatement-2026-I-PTIS.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTIS/FinancialStatement-2026-I-PTIS.xlsx","PT Indo Straits Q1 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTIS/PT%20Indo%20Straits%20Q1%202026.pdf","",""
"PTMP","26 Mei 2026 |
								13:36","PT Mitra Pack Tbk.","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTMP/inlineXBRL.zip","FinancialStatement-2026-I-PTMP.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTMP/FinancialStatement-2026-I-PTMP.pdf","Surat Pernyataan Direksi (SPD) PT Mitra Pack Tbk.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTMP/Surat%20Pernyataan%20Direksi%20(SPD)%20PT%20Mitra%20Pack%20Tbk.pdf","LKQ1_SPD PTMP 2026_08.05.26.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTMP/LKQ1_SPD%20PTMP%202026_08.05.26.pdf","PTMP Consolidation Report as of March 31 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTMP/PTMP%20Consolidation%20Report%20as%20of%20March%2031%202026.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTMP/instance.zip","FinancialStatement-2026-I-PTMP.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTMP/FinancialStatement-2026-I-PTMP.xlsx"
"PTMR","02 Mei 2026 |
								08:54","PT Master Print Tbk","Report PT Mitrapack Tbk_31 Desember 2025.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTMR/Report%20PT%20Mitrapack%20Tbk_31%20Desember%202025.pdf","FinancialStatement-2026-I-PTMR.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTMR/FinancialStatement-2026-I-PTMR.xlsx","LKQ1_SPD PTMR 2026_30.04.26.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTMR/LKQ1_SPD%20PTMR%202026_30.04.26.pdf","Report_PT Master Print Tbk_31 Maret 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTMR/Report_PT%20Master%20Print%20Tbk_31%20Maret%202026.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTMR/instance.zip","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTMR/inlineXBRL.zip","FinancialStatement-2026-I-PTMR.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTMR/FinancialStatement-2026-I-PTMR.pdf"
"PTPP","30 April 2026 |
								21:09","PP (Persero) Tbk","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPP/inlineXBRL.zip","Final LK PTPP Konsol Maret 2026-Unaudited.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPP/Final%20LK%20PTPP%20Konsol%20Maret%202026-Unaudited.pdf","SPD LK 31 Maret 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPP/SPD%20LK%2031%20Maret%202026.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPP/instance.zip","FinancialStatement-2026-I-PTPP.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPP/FinancialStatement-2026-I-PTPP.pdf","FinancialStatement-2026-I-PTPP.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPP/FinancialStatement-2026-I-PTPP.xlsx","",""
"PTPS","30 April 2026 |
								22:43","PT Pulau Subur Tbk.","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPS/inlineXBRL.zip","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPS/instance.zip","Perubahan Liabilitas PTPS Maret 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPS/Perubahan%20Liabilitas%20PTPS%20Maret%202026.pdf","FinancialStatement-2026-I-PTPS.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPS/FinancialStatement-2026-I-PTPS.pdf","SPD PTPS Kuartal I 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPS/SPD%20PTPS%20Kuartal%20I%202026.pdf","LK PTPS Kuartal I 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPS/LK%20PTPS%20Kuartal%20I%202026.pdf","FinancialStatement-2026-I-PTPS.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPS/FinancialStatement-2026-I-PTPS.xlsx"
"PTPW","30 April 2026 |
								23:33","PT Pratama Widya Tbk.","Surat Pengantar.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPW/Surat%20Pengantar.pdf","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPW/inlineXBRL.zip","Laporan Keuangan PTPW 31 Maret 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPW/Laporan%20Keuangan%20PTPW%2031%20Maret%202026.pdf","FinancialStatement-2026-I-PTPW.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPW/FinancialStatement-2026-I-PTPW.xlsx","FinancialStatement-2026-I-PTPW.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPW/FinancialStatement-2026-I-PTPW.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTPW/instance.zip","",""
"PTRO","27 April 2026 |
								16:23","Petrosea Tbk","PT Petrosea Tbk - Mar 2026 - FINAL.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTRO/PT%20Petrosea%20Tbk%20-%20Mar%202026%20-%20FINAL.pdf","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTRO/inlineXBRL.zip","PTRO - OJK Checklist LK Mar 26 C.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTRO/PTRO%20-%20OJK%20Checklist%20LK%20Mar%2026%20C.pdf","FinancialStatement-2026-I-PTRO.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTRO/FinancialStatement-2026-I-PTRO.xlsx","PTRO - Srt Pengantar LK Mar 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTRO/PTRO%20-%20Srt%20Pengantar%20LK%20Mar%202026.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTRO/instance.zip","FinancialStatement-2026-I-PTRO.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTRO/FinancialStatement-2026-I-PTRO.pdf"
"PTSN","30 April 2026 |
								09:38","Sat Nusapersada Tbk","FinancialStatement-2026-I-PTSN.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTSN/FinancialStatement-2026-I-PTSN.pdf","Pernyataan Direksi Lapkeu per 31 Mar 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTSN/Pernyataan%20Direksi%20Lapkeu%20per%2031%20Mar%202026.pdf","050 BEI Lap.Keuangan 31Mar2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTSN/050%20BEI%20Lap.Keuangan%2031Mar2026.pdf","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTSN/inlineXBRL.zip","FinancialStatement-2026-I-PTSN.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTSN/FinancialStatement-2026-I-PTSN.xlsx","LK PTSN Q1 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTSN/LK%20PTSN%20Q1%202026.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTSN/instance.zip"
"PTSP","30 April 2026 |
								14:00","Pioneerindo Gourmet International Tbk","SPD PTSP MAR26.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTSP/SPD%20PTSP%20MAR26.pdf","FinancialStatement-2026-I-PTSP.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTSP/FinancialStatement-2026-I-PTSP.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTSP/instance.zip","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTSP/inlineXBRL.zip","SURAT PENGANTAR PTSP MAR26.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTSP/SURAT%20PENGANTAR%20PTSP%20MAR26.pdf","FinancialStatement-2026-I-PTSP.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTSP/FinancialStatement-2026-I-PTSP.xlsx","financial report PTSP MAR26.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/PTSP/financial%20report%20PTSP%20MAR26.pdf"
